dataLoading,noncegen
123,86
121,85
121,85
122,86
121,85
121,85
121,86
122,86
122,86
122,86
121,85
121,86
121,85
122,86
121,85
122,86
121,85
121,85
121,85
122,86
122,86
122,86
122,85
122,86
121,85
121,85
121,86
122,85
122,85
121,85
121,86
121,85
122,86
121,86
121,85
122,86
121,85
121,85
121,85
121,85
121,85
122,86
122,85
121,85
121,85
122,85
122,85
122,85
121,85
122,85
121,85
121,85
122,85
121,85
122,86
121,86
121,85
122,85
121,85
122,85
121,86
121,85
122,86
121,85
121,85
122,85
122,85
121,85
121,85
121,85
121,85
122,85
121,86
122,85
121,85
121,85
121,86
121,86
121,85
121,85
122,86
122,86
122,86
122,85
122,86
122,86
122,86
122,86
122,86
122,86
121,85
121,86
122,85
122,85
121,86
121,86
122,86
121,86
122,86
122,86
